obs_id,seeing_avg,seeing_min,seeing_max,seeing_ambi_fwhm,seeing_tel_fwhm,seeing_tel_fwhmlin,seeing_tel_fwhmlinobs,windspeed_ambi
HD_159911__2018-04-12__09-18-25,0.287743,0.202723,0.407798,1.0,0.71,0.77,0.79,2.25
HD_160305__2015-05-13__07-26-52,-1.0,-1.0,-1.0,1.0,0.64,0.69,0.74,2.1
HD_160305__2016-05-23__06-09-39,0.464883,0.275295,0.882623,1.0,0.9,0.95,1.02,8.4
HD_164249__2015-06-01__05-54-21,0.598985,0.408393,1.10337,1.0,1.01,1.07,1.15,2.48
HD_164249__2016-04-17__09-37-17,0.958899,0.622059,2.21441,1.0,1.24,1.32,1.43,13.73
HD_164249__2018-04-11__09-42-29,0.292046,0.228355,0.445431,1.0,0.73,0.79,0.85,7.75
HD_168210__2016-06-14__05-47-41,-1.0,-1.0,-1.0,1.4,8.68,1.44,1.46,14.85
HD_168210__2017-06-03__05-47-51,0.304823,0.195328,0.813604,1.0,0.63,0.7,0.7,6.22
HD_16978__2015-10-01__06-39-32,0.595048,0.362463,1.31744,1.0,0.99,1.1,1.34,2.28
HD_16978__2016-09-16__07-30-31,-1.0,-1.0,-1.0,1.0,0.88,0.97,1.19,7.65
HD_16978__2017-10-01__05-03-22,0.824489,0.588375,1.3991,1.0,1.19,1.3,1.61,7.4
HD_172555__2015-05-11__07-17-56,-1.0,-1.0,-1.0,1.0,0.8,0.84,1.0,6.6
HD_172555__2015-05-11__07-51-19,-1.0,-1.0,-1.0,1.0,1.04,1.74,2.05,8.13
HD_174429__2015-05-06__09-49-25,-1.0,-1.0,-1.0,1.4,0.74,0.77,0.84,1.77
HD_174429__2015-05-31__06-34-52,0.688662,0.527085,0.911532,1.0,1.1,1.17,1.25,7.55
HD_174429__2016-09-16__23-53-41,-1.0,-1.0,-1.0,0.8,0.77,0.83,0.88,1.98
HD_174429__2017-05-18__08-01-51,0.641712,0.478753,1.04879,1.0,0.94,1.01,1.08,4.72
HD_175726__2016-06-12__06-29-45,-1.0,-1.0,-1.0,1.0,45.8,1.29,1.4,7.33
HD_175726__2016-09-16__00-00-07,-1.0,-1.0,-1.0,0.8,0.91,0.96,1.04,6.5
HD_175726__2017-09-30__00-20-27,0.541053,0.297901,1.87153,0.8,0.9,0.97,1.11,15.57
HD_176367__2015-06-07__07-25-32,0.658742,0.395797,1.44033,1.0,1.16,1.12,1.13,8.65
HD_177724__2015-06-28__05-32-37,0.631468,0.393166,1.20338,1.4,1.06,1.14,1.33,6.83
HD_177724__2016-05-31__07-06-55,0.795953,0.467803,1.60554,1.0,1.2,1.3,1.51,7.93
HD_178253__2015-06-06__07-40-23,0.655708,0.403124,1.37193,1.0,1.06,1.14,1.17,12.82
HD_181296__2015-05-05__09-22-43,-1.0,-1.0,-1.0,1.4,0.93,0.99,1.08,3.58
HD_181296__2018-05-08__09-58-19,0.488186,0.356595,0.627748,1.0,0.97,1.01,1.11,11.43
HD_181327__2015-05-10__09-12-24,-1.0,-1.0,-1.0,1.0,4.06,1.22,1.34,6.18
HD_181869__2015-05-13__09-10-43,-1.0,-1.0,-1.0,1.0,0.71,0.77,0.79,0.9
HD_181869__2016-05-21__07-53-18,0.732604,0.42497,1.76189,1.0,1.08,1.16,1.19,7.72
HD_181869__2018-05-08__09-04-47,0.595572,0.416876,0.921332,1.0,0.96,1.02,1.04,12.13
HD_188228__2015-05-12__09-04-54,-1.0,-1.0,-1.0,1.0,1.03,1.22,1.56,4.43
HD_188228__2015-06-01__07-40-44,0.748099,0.583528,1.74387,1.0,1.13,1.3,1.66,1.7
HD_188228__2015-07-01__05-14-12,0.43728,0.241563,0.767915,1.4,1.17,1.43,1.84,0.88
HD_188228__2016-05-25__09-18-36,0.35109,0.078529,0.845273,1.2,0.87,1.06,1.36,0.23
HD_189245__2015-05-14__08-55-56,-1.0,-1.0,-1.0,1.0,0.59,0.65,0.66,5.85
HD_189285__2015-06-03__07-33-54,0.401362,0.298871,0.583928,1.0,0.78,0.83,0.87,4.53
HD_189285__2016-05-29__08-29-20,0.504234,0.346709,0.749187,1.0,0.82,0.88,0.93,5.08
HD_189285__2018-05-07__09-40-24,0.504275,0.342263,1.17428,1.0,0.9,0.97,1.01,7.55
HD_192425__2015-06-22__06-08-20,0.266768,0.244287,0.299566,1.0,0.74,0.84,1.0,2.35
HD_192425__2015-09-28__00-51-15,0.579799,0.424536,0.909971,1.0,0.98,1.08,1.27,2.13
HD_192425__2016-06-11__07-27-45,-1.0,-1.0,-1.0,1.4,1.0,1.12,1.32,2.92
HD_19545__2016-10-13__05-55-29,-1.0,-1.0,-1.0,1.0,1.13,1.18,1.19,9.23
HD_197481__2015-05-16__09-14-50,-1.0,-1.0,-1.0,1.0,1.25,1.29,1.31,10.38
HD_197481__2015-05-30__09-11-51,0.434256,0.280387,0.700604,1.0,0.79,0.84,0.85,5.15
HD_197481__2015-06-27__06-38-09,0.265588,0.216998,0.4191,1.0,0.43,0.81,0.81,5.8
HD_197481__2015-06-27__07-46-40,0.31663,0.232115,0.529354,1.0,0.71,0.76,0.77,4.0
HD_197481__2015-09-25__01-28-20,0.536497,0.330067,1.02338,1.0,0.92,0.99,1.0,7.78
HD_197481__2015-10-01__00-20-11,0.285828,0.225255,0.434212,1.0,0.67,0.74,0.75,4.75
HD_197481__2016-05-21__09-43-27,0.765091,0.489355,1.7304,1.0,1.09,1.18,1.19,6.1
HD_197890__2015-06-04__08-15-32,0.591211,0.434703,0.901684,1.0,111.31,1.07,1.09,7.2
HD_201184__2015-09-29__00-46-20,0.840062,0.605828,1.30298,1.0,1.22,1.32,1.33,9.9
HD_201919__2015-06-03__09-04-45,0.36791,0.271692,0.528389,1.0,0.86,0.92,0.93,5.75
HD_202917__2015-05-31__09-36-58,0.693204,0.422839,1.21042,1.0,1.04,1.11,1.2,3.6
HD_202917__2016-05-31__09-18-22,0.615704,0.457212,1.05583,1.0,0.94,1.0,1.08,9.93
HD_20630__2015-12-27__01-22-43,0.579249,0.401301,0.979839,1.0,0.92,1.0,1.08,3.6
HD_206860__2015-09-30__01-47-41,0.436747,0.327879,0.685811,1.0,0.83,0.93,1.08,6.78
HD_210049__2015-07-01__08-29-23,0.26963,0.207729,0.830185,1.4,0.65,0.71,0.72,2.03
HD_210049__2016-09-17__03-22-07,-1.0,-1.0,-1.0,0.8,0.73,0.79,0.8,1.43
HD_210049__2016-10-14__01-15-39,-1.0,-1.0,-1.0,1.4,0.83,0.89,0.9,5.3
HD_216803__2015-06-27__09-36-00,0.380107,0.259985,0.691217,1.0,13.66,0.88,0.88,2.8
HD_216956__2015-06-30__08-01-31,-1.0,-1.0,-1.0,1.4,0.83,0.88,0.9,5.0
HD_216956__2015-06-30__08-04-16,-1.0,-1.0,-1.0,1.4,0.85,0.93,0.94,5.28
HD_216956__2015-06-30__08-15-59,0.383493,0.336075,0.44735,1.4,0.81,0.88,0.89,4.7
HD_216956__2015-09-24__02-37-03,0.746458,0.513391,1.05266,1.0,1.16,1.22,1.24,15.13
HD_218396__2014-12-06__00-15-16,-1.0,-1.0,-1.0,1.3,1.31,1.46,1.95,5.72
HD_218396__2014-12-07__00-16-41,-1.0,-1.0,-1.0,1.3,1.08,1.22,1.64,9.53
HD_218396__2014-12-09__00-26-57,-1.0,-1.0,-1.0,1.3,0.82,1.07,1.48,1.8
HD_218396__2015-07-04__09-55-52,0.66515,0.485923,0.996912,1.4,3.12,1.17,1.49,8.73
HD_218396__2016-11-18__01-21-08,-1.0,-1.0,-1.0,1.0,0.97,1.17,1.53,5.58
HD_218396__2017-06-15__10-12-26,0.657776,0.456542,1.0313,1.0,1.0,1.13,1.4,11.45
HD_218396__2017-10-08__02-12-08,0.528793,0.315507,1.34043,0.6,0.93,1.13,1.5,9.0
HD_218396__2017-10-12__00-22-17,0.613854,0.509972,0.74966,0.6,0.99,1.2,1.66,2.67
HD_218396__2017-10-12__02-58-12,0.456277,0.296659,0.845036,0.6,0.92,1.12,1.48,5.72
HD_218396__2017-10-13__02-18-21,0.486708,0.284656,0.953555,0.6,0.93,1.13,1.48,3.17
HD_218396__2018-06-19__09-15-26,0.658263,0.404046,1.07035,1.0,1.0,1.18,1.49,5.03
HD_219482__2015-10-01__03-40-26,0.470955,0.33207,0.751368,1.0,0.89,0.97,1.12,4.03
HD_220825__2015-09-25__03-36-55,0.631503,0.39589,1.04232,1.0,1.03,1.08,1.15,6.43
HD_224228__2015-10-25__02-26-04,0.751402,0.482533,1.55245,1.4,1.09,1.16,1.18,12.03
HD_224392__2015-10-27__02-35-57,0.777733,0.517458,1.15361,1.4,1.14,1.26,1.48,2.95
HD_224392__2016-06-28__10-06-24,-1.0,-1.0,-1.0,1.0,1.08,1.2,1.41,14.53
HD_24636__2016-01-03__01-01-11,0.504303,0.339271,1.00998,1.0,0.97,1.19,1.55,4.03
HD_25284__2015-09-30__07-14-00,0.607913,0.313099,1.37335,1.0,0.98,1.03,1.05,6.85
HD_29391__2015-09-25__08-56-28,0.450501,0.32604,0.749024,1.0,0.86,0.91,0.95,6.85
HD_29391__2015-09-26__08-50-04,0.46778,0.328545,0.709595,1.0,0.82,0.89,0.94,2.92
HD_29391__2015-12-26__02-28-43,0.817566,0.524805,1.32232,1.0,1.24,1.33,1.4,3.13
HD_29391__2016-01-16__01-44-58,0.932905,0.664992,1.43195,1.0,18.31,1.47,1.55,12.9
HD_29391__2016-12-12__04-52-59,-1.0,-1.0,-1.0,1.0,1.5,2.03,2.19,13.75
HD_29391__2016-12-13__03-48-07,-1.0,-1.0,-1.0,1.0,1.04,1.1,1.16,2.92
HD_29391__2017-09-28__08-46-50,0.357596,0.261919,0.603981,1.0,0.76,0.81,0.85,5.25
HD_3003__2015-09-28__04-39-33,0.631423,0.392891,1.07896,1.0,1.09,1.17,1.35,3.88
HD_3003__2016-09-16__05-31-23,-1.0,-1.0,-1.0,1.0,0.89,0.96,1.11,7.43
HD_30447__2015-12-01__03-58-58,0.960158,0.634103,1.4334,1.0,1.28,1.34,1.36,6.97
HD_30447__2015-12-29__01-40-09,0.824181,0.554584,1.46622,1.0,1.1,1.16,1.2,10.68
HD_30447__2016-12-06__05-15-26,-1.0,-1.0,-1.0,0.8,0.73,0.79,0.8,4.93
HD_317617__2015-05-31__05-25-05,0.472829,0.346955,0.669587,1.0,14.0,1.11,1.12,8.75
HD_32195__2015-09-30__09-05-02,1.11883,0.812854,1.63513,1.0,1.05,1.28,1.82,8.48
HD_326277__2016-03-30__09-20-08,0.58741,0.384837,0.770235,1.0,0.95,1.01,1.05,6.1
HD_35114__2017-02-12__01-09-44,0.729757,0.527106,1.29049,0.8,1.08,1.16,1.2,5.85
HD_35650__2015-12-28__03-24-06,0.440529,0.349964,0.591005,1.0,0.79,0.85,0.87,3.45
HD_377__2016-10-14__02-57-13,-1.0,-1.0,-1.0,1.4,0.81,0.89,0.98,6.03
HD_38678__2017-02-11__00-52-32,0.46657,0.335288,0.765785,0.8,0.9,0.95,0.96,6.68
HD_39060__2014-12-08__05-27-37,-1.0,-1.0,-1.0,1.2,0.73,0.77,0.82,2.75
HD_39060__2015-02-05__02-12-39,-1.0,-1.0,-1.0,1.2,0.82,0.86,0.94,2.78
HD_39060__2015-10-01__08-44-47,0.740131,0.481949,1.34217,1.0,1.13,1.2,1.3,5.83
HD_39060__2015-11-28__05-50-57,0.31376,0.27719,0.346545,1.0,0.74,0.79,0.84,0.63
HD_39060__2015-11-28__06-16-03,0.313764,0.274198,0.346119,1.0,0.77,0.82,0.88,1.27
HD_39060__2015-11-30__06-08-56,0.445595,0.280478,1.14638,1.0,0.82,0.89,0.95,2.73
HD_39060__2015-12-26__04-20-09,0.692653,0.445757,1.99468,1.0,1.09,1.19,1.27,4.93
HD_39060__2016-03-27__00-36-28,0.744255,0.394607,1.49729,1.0,1.09,1.17,1.36,10.98
HD_39060__2016-04-16__00-04-10,0.655135,0.424415,1.27043,1.0,0.98,1.07,1.33,5.97
HD_39060__2016-09-16__09-22-07,-1.0,-1.0,-1.0,0.8,7.89,0.86,0.95,3.53
HD_39060__2016-10-14__08-40-21,-1.0,-1.0,-1.0,1.4,0.92,0.98,1.05,9.38
HD_39060__2016-11-18__06-43-17,-1.0,-1.0,-1.0,1.4,1.19,1.27,1.36,12.07
HD_39060__2018-09-12__07-23-09,0.489837,0.325491,0.962707,0.8,0.85,1.01,1.34,1.52
HD_39060__2018-09-12__07-39-45,0.49,0.297251,0.962707,0.8,0.92,1.03,1.3,1.52
HD_39060__2018-09-14__07-08-53,1.21208,1.14739,1.33068,0.8,1.46,1.45,1.9,7.97
HD_39060__2018-09-14__08-18-07,1.09878,0.74235,1.79289,0.8,1.35,1.52,1.8,10.1
HD_39060__2018-09-17__09-17-08,0.535295,0.341941,0.978477,0.8,0.98,1.05,1.16,6.43
HD_39060__2018-10-18__08-15-58,0.743647,0.484175,1.35248,0.8,1.08,1.17,1.26,10.2
HD_44627__2015-02-06__02-21-02,-1.0,-1.0,-1.0,1.2,1.01,1.08,1.21,3.25
HD_45270__2016-01-16__03-24-43,0.924905,0.609172,1.53655,1.0,1.2,1.29,1.46,10.6
HD_51797__2016-01-03__04-28-49,0.321741,0.239763,0.451063,1.0,42.65,1.02,1.07,1.2
HD_55279__2015-12-27__05-19-54,0.554618,0.420288,1.01567,1.0,0.84,1.03,1.44,1.38
HD_55279__2017-02-08__02-59-38,0.707744,0.49543,1.2123,1.0,0.95,1.17,1.63,4.53
HD_56022__2015-12-29__06-30-09,0.91355,0.551606,2.02299,1.0,1.31,1.37,1.46,14.8
HD_56022__2016-03-30__00-11-02,0.422784,0.252866,1.06212,1.4,0.89,0.96,1.02,4.75
HD_61005__2015-02-03__03-17-59,-1.0,-1.0,-1.0,1.2,0.84,0.91,0.91,1.55
HD_61005__2015-03-30__00-49-51,-1.0,-1.0,-1.0,1.2,1.09,1.15,1.18,12.78
HD_71155__2016-01-19__05-00-11,0.70854,0.451875,1.32271,1.0,1.16,1.27,1.33,7.75
HD_74576__2016-01-03__05-37-08,0.227024,0.206247,0.244146,1.0,0.69,0.73,0.76,1.35
HD_74576__2016-01-03__06-20-39,0.248143,0.20496,0.324237,1.0,0.7,0.76,0.77,1.83
HD_74576__2016-03-28__00-10-22,0.4772,0.328991,0.789259,1.0,0.84,0.9,0.93,8.35
HD_74576__2016-12-12__07-55-28,-1.0,-1.0,-1.0,1.0,1.7,3.35,3.41,11.28
HD_75416__2016-01-02__07-07-51,0.389441,0.263583,0.668186,1.0,7.41,1.21,1.67,3.28
HD_75416__2016-12-13__07-47-26,-1.0,-1.0,-1.0,1.0,0.82,0.92,1.28,7.88
HD_75505__2015-02-06__04-17-12,-1.0,-1.0,-1.0,1.2,1.1,1.45,2.01,7.33
HD_75505__2018-01-06__05-11-44,0.552085,0.384726,1.0611,1.0,1.01,1.34,1.86,3.65
HD_77825__2016-04-17__00-37-21,0.441189,0.0204548,0.770526,0.8,0.81,0.85,0.86,6.85
HD_77825__2017-02-13__04-41-12,0.441802,0.314808,0.940076,0.8,0.79,0.84,0.85,6.28
HD_84075__2015-02-05__04-36-52,-1.0,-1.0,-1.0,1.2,1.05,1.33,1.82,3.88
HD_84075__2016-01-18__06-13-16,0.541233,0.395197,0.971904,1.0,11.87,1.32,1.81,1.55
HD_84075__2017-02-11__04-54-44,0.541339,0.405542,0.762607,0.8,21.3,1.32,1.82,11.0
HD_8558__2015-09-24__06-06-43,1.14752,0.751844,1.91736,1.0,2.45,20.28,22.53,16.45
HD_8558__2015-10-28__03-08-29,0.526344,0.392122,1.10884,1.4,0.91,1.0,1.12,1.7
HD_8558__2016-10-14__05-09-10,-1.0,-1.0,-1.0,1.0,0.88,0.95,1.06,6.03
HD_88955__2015-03-30__01-49-28,-1.0,-1.0,-1.0,1.2,1.24,1.35,1.39,12.78
HD_88955__2015-05-10__23-55-22,-1.0,-1.0,-1.0,1.0,0.85,0.92,0.95,8.28
HD_88955__2016-03-27__02-19-10,1.32122,0.811958,1.95331,1.4,1.48,1.68,1.73,11.78
