obs_id,object_id,object_name,object_name_2MASS,object_name_HIP,object_name_HR,object_name_TYC,object_name_SAO,folder,date_obs,obs_start,obs_end,infrared_filter,irdis_dual_filter,tel_ambi_fwhm_mean,tel_tau0_mean,tel_ambi_windsp,windSpeed_200_asm,seeing_sparta_min,seeing_sparta_max,seeing_sparta_avg,seeing_tel_ia_fwhmlinobs,seeing_tel_ia_fwhmlin,seeing_tel_ia_fwhm,seeing_ambi_fwhm,mass_turbfwhm_asm,mass_fwhm_asm,dimm_fwhm_asm,historical_ambient_fwhm_asm,mass_tau0_asm,mass_tau_asm,historical_ambient_tau_asm,mass_tau0_ms_asm,mass_tau_ms_asm,historical_ambient_tau_ms_asm,tel_ambi_tau0,strehl_sparta_avg,strehl_sparta_max,strehl_sparta_min,flux_K,flux_H,flux_R,flux_G,NAXIS1,n_frames,rot_max,mtime,missing_psf,split,status_obs,comment,found,waffle_amplitude,is_lwe,category,seeing_final,tau_final,analytical_strehl,obs_category,analytical_strehl2,obs_category2,obs_category3
HD_104125__2016-03-30__04-41-34,HD_104125,HIP_58465,,HIP_58465,,TYC_8639-313-1,SAO_239550,HIP 58465_DB_H23_2016-03-29_ird_convert_recenter_dc2022_COBREX_328269,2016-03-30T04:41:34.88,2016-03-30T04:06:16.14,2016-03-30T05:16:32.88,DB_H23,B_H,1.3400,2.1000,6.9500,29.3827,0.4397,1.9088,0.7180,1.2800,1.1500,1.1400,1.0000,,,,1.3572,,,0.0020,,,1.9949,2.5000,0.7839,0.8414,0.5137,6.2930,6.3440,,6.7477,52,52,-28.3986,2022-06-08_16-01-40,0,train,0.0000,interactive,,0.0300,0,1,1.3572,1.9949,0.7133,1,0.8543,1,0
HD_105__2015-09-26__03-36-17,HD_105,HIP_490,,HIP_490,,TYC_7526-1226-1,SAO_214961,HIP 490_DB_H23_2015-09-25_ird_convert_recenter_dc2022_COBREX_328348,2015-09-26T03:36:17.23,2015-09-26T02:56:37.64,2015-09-26T04:16:42.20,DB_H23,B_H,1.0600,17.4000,2.3800,58.4576,0.2710,0.6977,0.3974,0.8800,0.8400,0.7900,1.0000,,,,1.0655,,,0.0174,,,17.4002,15.9000,0.7488,0.8043,0.5559,6.1170,6.1890,,7.3956,72,72,-44.9821,2022-06-09_18-42-47,0,train,0.0000,interactive,,0.0600,1,0,1.0655,17.4002,0.8208,0,0.8825,-1,-1
HD_106048__2016-06-13__23-30-15,HD_106048,HIP_59505,,HIP_59505,,TYC_8632-835-1,SAO_239747,HIP 59505_DB_H23_2016-06-13_ird_convert_recenter_dc2022_COBREX_332731,2016-06-13T23:30:15.97,2016-06-13T23:03:43.84,2016-06-13T23:56:45.24,DB_H23,B_H,0.8600,2.5000,10.4300,,-1.0000,-1.0000,-1.0000,1.1600,1.0700,1.0000,1.0000,0.8585,0.5345,0.8632,,0.0025,0.0031,,2.4802,3.0926,,2.1000,-1.0000,-1.0000,-1.0000,7.7010,7.7380,,8.5284,48,48,-23.6663,2022-06-25_03-55-53,0,train,0.0000,interactive,,0.0300,0,1,0.8632,2.4802,0.7009,1,0.8497,1,1
HD_106048__2017-05-07__01-28-26,HD_106048,HIP_59505,,HIP_59505,,TYC_8632-835-1,SAO_239747,HIP 59505_DB_H23_2017-05-06_ird_convert_recenter_dc2022_COBREX_waffles_only_331958,2017-05-07T01:28:26.32,2017-05-07T00:36:54.13,2017-05-07T02:19:58.92,DB_H23,B_H,1.4100,1.7000,14.4800,46.8683,0.4739,1.6267,0.7190,1.1200,1.0300,0.9700,1.0000,,,1.3247,,,,,,,,2.5000,0.4774,0.5724,0.2923,7.7010,7.7380,,8.5284,91,91,-44.9046,2022-06-24_21-58-01,0,train,0.0000,interactive,,0.0800,0,0,1.3247,1.7000,0.5194,0,0.7701,0,0
HD_106048__2018-03-30__03-48-28,HD_106048,HIP_59505,,HIP_59505,,TYC_8632-835-1,SAO_239747,HIP 59505_DB_H23_2018-03-29_ird_convert_recenter_dc2022_COBREX_waffles_only_333267,2018-03-30T03:48:28.48,2018-03-30T02:56:33.72,2018-03-30T04:47:04.04,DB_H23,B_H,0.4500,13.5000,2.8300,11.1715,0.3299,0.7590,0.4517,1.0100,0.9200,0.8500,1.0000,0.4891,0.2243,0.4309,,0.0138,0.0220,,13.7722,21.9537,,16.6000,0.7929,0.8228,0.7474,7.7010,7.7380,,8.5284,60,60,-47.2734,2022-06-25_07-17-02,0,train,0.0000,interactive,,0.0400,0,2,0.4309,13.7722,0.9193,2,0.9230,2,2
HD_107301__2015-06-05__23-37-34,HD_107301,HIP_60183,,HIP_60183,HR_4692,TYC_8987-40-1,SAO_251854,HIP 60183_DB_H23_2015-06-05_ird_convert_recenter_dc2022_COBREX_333016,2015-06-05T23:37:34.37,2015-06-05T23:04:38.33,2015-06-06T00:10:31.14,DB_H23,B_H,1.4100,2.0000,11.1800,26.4433,0.4094,0.9739,0.5905,1.2300,1.0400,0.9700,1.0000,,,,1.4055,,,0.0020,,,1.9767,2.0000,0.8513,0.8840,0.7603,6.2700,6.2770,,6.1956,60,60,-22.1160,2022-06-25_05-27-48,0,train,0.0000,interactive,,0.0300,0,0,1.4055,1.9767,0.7064,1,0.8576,1,0
HD_107301__2016-01-19__06-40-27,HD_107301,HIP_60183,,HIP_60183,HR_4692,TYC_8987-40-1,SAO_251854,HIP 60183_DB_H23_2016-01-18_ird_convert_recenter_dc2022_COBREX_332036,2016-01-19T06:40:27.88,2016-01-19T06:04:52.70,2016-01-19T07:16:03.08,DB_H23,B_H,1.8500,1.7000,9.0500,29.8509,0.6486,1.4013,0.9782,1.6800,1.3300,1.2300,1.0000,,,,1.8812,,,0.0018,,,1.7787,1.5000,0.7517,0.8300,0.6335,6.2700,6.2770,,6.1956,128,128,-20.5240,2022-06-24_22-19-30,0,train,0.0000,interactive,,0.0400,0,0,1.8812,1.7787,0.5904,1,0.7931,0,0
HD_107821__2015-02-04__08-27-21,HD_107821,HIP_60459,,HIP_60459,,TYC_8983-1126-1,SAO_251879,HIP 60459_DB_H23_2015-02-03_ird_convert_recenter_dc2022_COBREX_332271,2015-02-04T08:27:21.49,2015-02-04T07:33:36.87,2015-02-04T09:19:24.93,DB_H23,B_H,0.7400,12.8000,3.3500,7.8920,-1.0000,-1.0000,-1.0000,0.9200,0.7800,0.7300,1.2000,,,,0.7115,,,0.0135,,,13.4809,12.0000,-1.0000,-1.0000,-1.0000,7.0150,7.0510,,7.3909,92,92,-37.1763,2022-06-24_23-54-52,0,train,0.0000,interactive,,0.0300,0,2,0.7115,13.4809,0.8898,2,0.9157,2,2
HD_108767B__2016-06-11__23-43-59,HD_108767B,HD_108767B,,,,TYC_6103-2398-1,SAO_157322,HD 108767B_DB_H23_2016-06-11_ird_convert_recenter_dc2022_COBREX_332664,2016-06-11T23:43:59.05,2016-06-11T23:00:10.53,2016-06-12T00:27:46.61,DB_H23,B_H,0.8400,3.3000,14.0700,50.1780,-1.0000,-1.0000,-1.0000,1.1000,1.0900,1.0200,1.0000,0.8639,0.6770,0.8638,,0.0032,0.0039,,3.1588,3.9299,,3.1000,-1.0000,-1.0000,-1.0000,6.2350,6.3700,,8.1786,80,80,99.2574,2022-06-25_03-45-51,0,train,0.0000,interactive,,0.0400,0,2,0.8638,3.1588,0.7569,1,0.8782,1,2
HD_108767__2018-01-25__08-46-24,HD_108767,del_CrvB,,HIP_60965,HR_4757,TYC_6103-2395-1,SAO_157323,HD 108767B_DB_H23_2018-01-24_ird_convert_recenter_dc2022_COBREX_333060,2018-01-25T08:46:24.06,2018-01-25T08:06:39.02,2018-01-25T09:27:29.94,DB_H23,B_H,0.5900,8.3000,1.1300,22.0071,0.2352,0.4976,0.3172,0.7600,0.7600,0.6900,1.0000,0.6611,0.3520,0.5973,,0.0077,0.0082,,7.6997,8.2265,,10.5000,0.8019,0.8319,0.6117,3.0500,3.0500,2.9900,2.9649,72,72,94.4343,2022-06-25_06-20-51,0,train,0.0000,interactive,,0.0400,0,2,0.5973,7.6997,0.9309,2,0.9691,2,2
HD_109536__2016-04-21__03-19-59,HD_109536,HIP_61468,,HIP_61468,HR_4794,TYC_7762-1974-1,SAO_223542,HIP 61468_DB_H23_2016-04-20_ird_convert_recenter_dc2022_COBREX_328508,2016-04-21T03:19:59.08,2016-04-21T02:47:49.40,2016-04-21T04:01:03.58,DB_H23,B_H,1.6300,2.1000,10.6000,15.6896,0.5614,1.6122,0.8787,1.2600,1.2300,1.1500,0.8000,1.5884,0.6040,1.6448,,0.0021,0.0061,,2.0757,6.0776,,1.7000,0.7554,0.8286,0.5501,4.5710,4.7080,,5.0668,216,216,-55.0011,2022-06-10_16-08-05,0,train,0.0000,interactive,,0.0300,0,0,1.6448,2.0757,0.6605,1,0.8373,1,0
HD_109536__2018-06-18__23-28-19,HD_109536,HIP_61468,,HIP_61468,HR_4794,TYC_7762-1974-1,SAO_223542,HIP 61468_DB_H23_2018-06-18_ird_convert_recenter_dc2022_COBREX_333591,2018-06-18T23:28:19.74,2018-06-18T23:01:40.63,2018-06-18T23:54:59.72,DB_H23,B_H,1.9200,1.5000,11.3800,,0.7999,1.6918,1.1077,1.6400,1.6000,1.4400,1.0000,1.8683,1.1451,1.9168,,0.0016,0.0030,,1.5524,3.0305,,1.5000,0.7360,0.8221,0.5102,4.5710,4.7080,,5.0668,48,48,-40.6089,2022-06-25_08-14-33,0,calib,0.0000,interactive,,0.0200,0,0,1.9168,1.5524,0.5730,1,0.7922,0,0
HD_109573__2015-02-03__08-45-39,HD_109573,TWA_11,,HIP_61498,HR_4796,TYC_7762-1973-1,SAO_203621,HIP 61498_DB_H23_2015-02-02_ird_convert_recenter_dc2022_COBREX_328689,2015-02-03T08:45:39.43,2015-02-03T08:14:15.07,2015-02-03T09:17:02.24,DB_H23,B_H,0.6700,11.9000,3.6000,11.5889,-1.0000,-1.0000,-1.0000,0.7400,0.7300,0.6600,1.2000,,,,0.6541,,,0.0120,,,11.9853,12.8000,-1.0000,-1.0000,-1.0000,5.7690,5.7940,7.2500,5.7832,112,112,-48.5053,2022-06-10_20-18-53,0,train,3.0000,interactive,,0.0300,0,2,0.6541,11.9853,0.9023,2,0.9256,2,2
HD_110411__2016-06-11__00-13-20,HD_110411,HIP_61960,,HIP_61960,HR_4828,TYC_878-1102-1,SAO_100211,HIP 61960_DB_H23_2016-06-10_ird_convert_recenter_dc2022_COBREX_332615,2016-06-11T00:13:20.25,2016-06-10T23:34:00.09,2016-06-11T00:52:40.98,DB_H23,B_H,0.7100,2.7000,5.2500,50.6506,-1.0000,-1.0000,-1.0000,1.1700,1.0400,0.9700,1.4000,0.7274,0.4962,0.6885,,0.0026,0.0027,,2.6101,2.7090,,2.3000,-1.0000,-1.0000,-1.0000,4.6780,4.7610,4.8000,4.8502,72,72,30.2266,2022-06-25_03-37-27,0,train,0.0000,interactive,,0.0400,0,1,0.6885,2.6101,0.8785,2,0.9492,2,1
